Agency Name,County,IncidentDate,LEOKA Assignment Type (NIBRS),LEOKA Circumstance,NIBRS Crime Description,NIBRS Report Title,Victim Age (group),Victim Gender,Victim Race,Distinct Offense Victims
Gresham PD MIP,Multnomah,10/24/2021,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,20,Male,Unknown,1
Portland Police Bureau MIP,Multnomah,4/23/2021,Two Man Vehicle,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,20,Female,White,1
Clatsop SO,Clatsop,3/31/2022,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,21,Female,Unknown,1
Corvallis PD,Benton,5/21/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,21,Male,White,1
Corvallis PD,Benton,3/27/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,21,Male,White,1
Central Point PD,Jackson,1/9/2021,Other - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,22,Female,White,1
Corvallis PD,Benton,7/24/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Corvallis PD,Benton,9/3/2021,One Man Vehicle - Alone,Responding to Domestic Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Corvallis PD,Benton,3/9/2022,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Corvallis PD,Benton,3/11/2022,One Man Vehicle - Alone,Responding to Domestic Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Corvallis PD,Benton,1/11/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,22,Female,White,1
Hillsboro PD MIP,Washington,3/21/2021,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,22,Male,White,1
Marion SO,Marion,11/12/2021,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Medford PD,Jackson,3/6/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Intimidation,Intimidation,22,Male,White,1
Medford PD,Jackson,11/14/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,22,Male,White,1
Medford PD,Jackson,11/21/2020,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,22,Male,White,1
Multnomah SO,Multnomah,7/19/2020,Other - Alone,All Other,Aggravated Assault,Aggravated Assault,22,Male,Hispanic or Latino,1
Salem PD MIP,MARION,9/27/2021,Two Man Vehicle,Attempting Other Arrests,Intimidation,Intimidation,22,Male,White,1
Ashland PD,Jackson,7/27/2020,One Man Vehicle - Alone,Responding to Domestic Disturbance,Simple Assault,Simple Assault,23,Male,White,1
Astoria PD,Clatsop,9/8/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,23,Male,White,1
Astoria PD,Clatsop,1/6/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,23,Male,White,1
Bend PD MIP,Deschutes,11/9/2021,One Man Vehicle - Assisted,Mentally Deranged,Simple Assault,Simple Assault,23,Female,Unknown,1
Central Point PD,Jackson,3/19/2022,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,23,Female,White,1
Coos Bay PD,Coos,4/8/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,23,Male,White,1
Florence PD,Lane,3/8/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,23,Female,White,1
Florence PD,Lane,10/5/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,23,Female,White,1
Grants Pass PD,Josephine,6/14/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,23,Female,White,1
Grants Pass PD,Josephine,8/22/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,23,Female,White,1
Keizer PD,Marion,4/18/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,23,Male,White,1
Malheur SO,Malheur,9/29/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,23,Male,White,1
Morrow SO,Morrow,9/29/2021,Other - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,23,Male,Hispanic or Latino,1
Portland Police Bureau MIP,Multnomah,1/23/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,23,Male,White,1
Portland Police Bureau MIP,Multnomah,8/28/2020,Two Man Vehicle,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,23,Female,White,1
Redmond PD,DESCHUTES,4/16/2020,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,23,Female,White,1
Springfield PD,Lane,6/9/2021,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,23,Male,White,1
Talent PD,Jackson,1/8/2022,One Man Vehicle - Alone,Responding to Disturbance,Aggravated Assault,Aggravated Assault,23,Male,White,1
The Dalles PD,Wasco,3/14/2021,One Man Vehicle - Assisted,Burglaries in Progress/Pursuing Burglary Suspects,Simple Assault,Simple Assault,23,Male,White,1
The Dalles PD,Wasco,10/29/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,23,Female,White,1
Washington SO,Washington,8/21/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,23,Male,Unknown,1
Astoria PD,Clatsop,1/25/2022,Other - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,24,Male,White,1
Central Point PD,Jackson,7/26/2020,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,24,Male,White,1
Clackamas SO,Clackamas,8/11/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,24,Male,White,1
Clackamas SO,Clackamas,3/9/2022,Other - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,24,Male,White,1
Clackamas SO,Clackamas,2/8/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,24,Male,Unknown,1
Clackamas SO,Clackamas,2/14/2020,One Man Vehicle - Assisted,Mentally Deranged,Simple Assault,Simple Assault,24,Male,White,1
Clackamas SO,Clackamas,7/4/2020,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,24,Male,White,1
Clackamas SO,Clackamas,10/29/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,24,Male,White,1
Clackamas SO,Clackamas,12/18/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,24,Male,White,1
Clackamas SO,Clackamas,3/21/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,24,Male,White,1
Cornelius PD,Washington,6/17/2021,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,24,Male,White,1
Corvallis PD,Benton,5/20/2020,Other - Assisted,All Other,Simple Assault,Simple Assault,24,Female,White,1
Corvallis PD,Benton,7/28/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,24,Female,White,1
Dallas PD,Polk,1/25/2022,Two Man Vehicle,Responding to Disturbance,Aggravated Assault,Aggravated Assault,24,Male,Unknown,1
Eugene PD MIP,Lane,6/27/2021,One Man Vehicle - Alone,Responding to Disturbance,Aggravated Assault,Aggravated Assault,24,Male,White,1
Eugene PD MIP,Lane,3/11/2022,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,24,Male,White,1
Grants Pass PD,Josephine,4/19/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,24,Male,White,1
Grants Pass PD,Josephine,6/9/2020,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,24,Male,White,1
Grants Pass PD,Josephine,9/28/2020,One Man Vehicle - Alone,All Other,Aggravated Assault,Aggravated Assault,24,Female,White,1
Grants Pass PD,Josephine,1/16/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,24,Female,White,1
Grants Pass PD,Josephine,3/28/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,24,Female,White,1
Grants Pass PD,Josephine,5/28/2021,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,24,Female,White,1
Grants Pass PD,Josephine,9/9/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Intimidation,Intimidation,24,Female,White,1
Grants Pass PD,Josephine,3/14/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,24,Female,White,1
Grants Pass PD,Josephine,4/2/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,24,Female,White,1
Grants Pass PD,Josephine,1/16/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Destruction/Damage/Vandalisim of Property,Vandalism,24,Female,White,1
Gresham PD MIP,Multnomah,4/11/2021,Other - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,24,Male,White,1
Gresham PD MIP,Multnomah,10/4/2020,One Man Vehicle - Alone,Mentally Deranged,Simple Assault,Simple Assault,24,Male,White,1
Gresham PD MIP,Multnomah,1/10/2021,One Man Vehicle - Alone,Traffic Pursuit and Stops,Simple Assault,Simple Assault,24,Male,White,1
Jackson SO,JACKSON,7/28/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,24,Male,White,1
Keizer PD,Marion,10/4/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,24,Male,Unknown,1
La Grande PD,Union,2/26/2022,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,24,Male,White,1
Medford PD,Jackson,5/27/2020,Two Man Vehicle,Responding to Domestic Disturbance,Simple Assault,Simple Assault,24,Male,White,1
Medford PD,Jackson,11/4/2020,One Man Vehicle - Alone,Mentally Deranged,Simple Assault,Simple Assault,24,Male,White,1
Medford PD,Jackson,11/10/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,24,Male,White,1
Medford PD,Jackson,2/11/2021,Detective or Special Assignment - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,24,Male,White,1
Newport PD,Lincoln,11/23/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,24,Male,White,1
Polk SO,Polk,2/22/2021,Other - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,24,Male,White,1
Portland Police Bureau MIP,Multnomah,11/19/2021,One Man Vehicle - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,24,Male,Hispanic or Latino,1
Portland Police Bureau MIP,Multnomah,6/28/2020,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,24,Male,White,1
Portland Police Bureau MIP,Multnomah,7/16/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,24,Male,White,1
Portland Police Bureau MIP,Multnomah,7/20/2020,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,24,Female,White,1
Portland Police Bureau MIP,Multnomah,12/18/2020,Other - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,24,Male,White,1
Portland Police Bureau MIP,Multnomah,3/14/2021,One Man Vehicle - Assisted,All Other,Aggravated Assault,Aggravated Assault,24,Male,White,1
Portland Police Bureau MIP,Multnomah,9/2/2020,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,24,Male,Asian,1
Portland Police Bureau MIP,Multnomah,3/13/2020,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,24,Female,White,1
Portland Police Bureau MIP,Multnomah,3/17/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,24,Male,White,1
Portland Police Bureau MIP,Multnomah,8/24/2020,Detective or Special Assignment - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,24,Female,White,1
Portland Police Bureau MIP,Multnomah,11/3/2020,One Man Vehicle - Alone,Burglaries in Progress/Pursuing Burglary Suspects,Simple Assault,Simple Assault,24,Male,White,1
Portland Police Bureau MIP,Multnomah,12/1/2020,One Man Vehicle - Assisted,Mentally Deranged,Simple Assault,Simple Assault,24,Male,White,1
Salem PD MIP,MARION,11/28/2020,One Man Vehicle - Assisted,Mentally Deranged,Aggravated Assault,Aggravated Assault,24,Female,White,1
Salem PD MIP,MARION,1/3/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,24,Male,White,1
Salem PD MIP,MARION,2/9/2021,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,24,Male,White,1
Salem PD MIP,MARION,3/20/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,24,Male,Hispanic or Latino,1
Salem PD MIP,MARION,7/9/2021,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,24,Male,Hispanic or Latino,1
Salem PD MIP,MARION,1/28/2020,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,24,Male,Unknown,1
Salem PD MIP,MARION,9/25/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,24,Female,White,1
Salem PD MIP,MARION,1/31/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,24,Male,White,1
The Dalles PD,Wasco,12/24/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,24,Female,White,1
Washington SO,Washington,7/28/2020,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,24,Female,White,1
Albany PD,Linn,12/1/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Female,Hispanic or Latino,1
Albany PD,Linn,1/12/2021,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,25-29,Female,Hispanic or Latino,1
Albany PD,Linn,1/10/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Female,White,1
Albany PD,Linn,1/12/2021,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,25-29,Male,White,1
Albany PD,Linn,7/19/2021,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Ashland PD,Jackson,1/18/2022,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Ashland PD,Jackson,8/17/2020,One Man Vehicle - Alone,Responding to Domestic Disturbance,Simple Assault,Simple Assault,25-29,Female,White,1
Ashland PD,Jackson,12/6/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Ashland PD,Jackson,12/22/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Ashland PD,Jackson,3/12/2022,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,25-29,Female,White,1
Astoria PD,Clatsop,1/23/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,Hispanic or Latino,1
Astoria PD,Clatsop,5/29/2020,Two Man Vehicle,Mentally Deranged,Simple Assault,Simple Assault,25-29,Male,White,1
Astoria PD,Clatsop,6/3/2020,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Astoria PD,Clatsop,9/26/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Astoria PD,Clatsop,1/6/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Baker SO,Baker,11/27/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Beaverton PD MIP,Washington,8/17/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,25-29,Female,Black or African American,1
Beaverton PD MIP,Washington,7/5/2021,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Bend PD MIP,Deschutes,2/2/2021,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Bend PD MIP,Deschutes,3/23/2020,Two Man Vehicle,Responding to Domestic Disturbance,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Bend PD MIP,Deschutes,5/1/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Bend PD MIP,Deschutes,11/25/2020,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Bend PD MIP,Deschutes,6/15/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Bend PD MIP,Deschutes,8/19/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Bend PD MIP,Deschutes,5/10/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Bend PD MIP,Deschutes,7/19/2021,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,25-29,Female,White,2
Boardman PD,Morrow,6/10/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Canby PD,Clackamas,7/29/2020,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,Unknown,1
Canby PD,Clackamas,4/10/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Male,White,1
Canby PD,Clackamas,2/10/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Female,White,1
Central Point PD,Jackson,1/29/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Central Point PD,Jackson,1/23/2020,Other - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,4/19/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Male,Asian,1
Clackamas SO,Clackamas,5/13/2020,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Clackamas SO,Clackamas,5/13/2020,Two Man Vehicle,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,White,2
Clackamas SO,Clackamas,1/22/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Clackamas SO,Clackamas,2/8/2021,One Man Vehicle - Alone,All Other,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Clackamas SO,Clackamas,4/11/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Clackamas SO,Clackamas,6/5/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Clackamas SO,Clackamas,6/16/2021,Detective or Special Assignment - Alone,Mentally Deranged,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Clackamas SO,Clackamas,2/14/2022,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Clackamas SO,Clackamas,8/20/2020,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Clackamas SO,Clackamas,2/8/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,7/20/2020,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,10/21/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Female,White,1
Clackamas SO,Clackamas,1/3/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,1/6/2021,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,1/15/2021,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Female,White,1
Clackamas SO,Clackamas,1/19/2021,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,1/23/2021,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,3/12/2021,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,3/14/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,5/14/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,5/28/2021,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,7/2/2021,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,7/6/2021,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,9/5/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Female,White,1
Clackamas SO,Clackamas,3/5/2022,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Clackamas SO,Clackamas,3/29/2022,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Simple Assault,Simple Assault,25-29,Male,White,1
Clatsop SO,Clatsop,5/8/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Female,White,1
Coos Bay PD,Coos,9/4/2021,Two Man Vehicle,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Coos Bay PD,Coos,6/25/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Coos SO,Coos,6/2/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Cornelius PD,Washington,4/23/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,Hispanic or Latino,1
Corvallis PD,Benton,6/26/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Corvallis PD,Benton,7/28/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Corvallis PD,Benton,9/6/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Corvallis PD,Benton,3/13/2021,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Corvallis PD,Benton,9/22/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Female,White,1
Cottage Grove PD,Lane,6/13/2020,Other - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Male,Unknown,1
Curry SO,Curry,10/20/2020,Other - Assisted,All Other,Simple Assault,Simple Assault,25-29,Male,White,1
Dallas PD,Polk,1/4/2022,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Dallas PD,Polk,10/13/2020,One Man Vehicle - Alone,Responding to Disturbance,Intimidation,Intimidation,25-29,Male,White,1
Dallas PD,Polk,11/14/2020,One Man Vehicle - Assisted,Responding to Disturbance,Intimidation,Intimidation,25-29,Male,White,1
Dallas PD,Polk,5/2/2021,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Deschutes SO,Deschutes,10/20/2021,Other - Alone,Ambush/No Warning,Simple Assault,Simple Assault,25-29,Male,White,1
Eugene PD MIP,Lane,8/18/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,25-29,Female,Black or African American,1
Eugene PD MIP,Lane,7/10/2020,Two Man Vehicle,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,Unknown,1
Eugene PD MIP,Lane,3/17/2020,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Eugene PD MIP,Lane,8/18/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Eugene PD MIP,Lane,3/10/2022,One Man Vehicle - Alone,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Eugene PD MIP,Lane,12/9/2020,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Female,White,1
Eugene PD MIP,Lane,4/18/2021,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Male,White,1
Eugene PD MIP,Lane,5/8/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Eugene PD MIP,Lane,6/20/2021,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,25-29,Female,White,1
Eugene PD MIP,Lane,10/9/2021,Other - Assisted,All Other,Simple Assault,Simple Assault,25-29,Male,White,1
Eugene PD MIP,Lane,11/5/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Female,White,1
Eugene PD MIP,Lane,11/22/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Forest Grove PD,Washington,9/4/2021,Other - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Forest Grove PD,Washington,1/5/2022,Other - Alone,Mentally Deranged,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Grand Ronde Tribal,Polk,1/29/2021,One Man Vehicle - Alone,Traffic Pursuit and Stops,Simple Assault,Simple Assault,25-29,Male,American Indian/Alaskan Native,1
Grants Pass PD,Josephine,9/24/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,25-29,Female,Unknown,1
Grants Pass PD,Josephine,12/14/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Grants Pass PD,Josephine,4/27/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Intimidation,Intimidation,25-29,Male,American Indian/Alaskan Native,1
Grants Pass PD,Josephine,1/18/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,American Indian/Alaskan Native,1
