Agency Name,County,IncidentDate,LEOKA Assignment Type (NIBRS),LEOKA Circumstance,NIBRS Crime Description,NIBRS Report Title,Victim Age (group),Victim Gender,Victim Race,Distinct Offense Victims
Coquille PD,Coos,3/27/2020,One Man Vehicle - Alone,Responding to Domestic Disturbance,Simple Assault,Simple Assault,Unknown,Male,White,1
Cottage Grove PD,Lane,5/1/2020,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,Unknown,Unknown,Unknown,2
Curry SO,Curry,12/19/2020,Other - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
Curry SO,Curry,10/26/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
Deschutes SO,Deschutes,5/28/2020,Other - Assisted,Responding to Domestic Disturbance,Aggravated Assault,Aggravated Assault,Unknown,Male,Unknown,1
Deschutes SO,Deschutes,5/30/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,Unknown,Male,Unknown,1
Deschutes SO,Deschutes,11/8/2020,One Man Vehicle - Alone,Ambush/No Warning,Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
Deschutes SO,Deschutes,4/18/2021,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
Deschutes SO,Deschutes,12/14/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
Deschutes SO,Deschutes,1/12/2020,Other - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,Unknown,Male,White,1
Deschutes SO,Deschutes,3/3/2020,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,Unknown,Male,White,1
Deschutes SO,Deschutes,3/3/2020,Two Man Vehicle,Traffic Pursuit and Stops,Simple Assault,Simple Assault,Unknown,Male,White,1
Deschutes SO,Deschutes,7/30/2020,Other - Assisted,Traffic Pursuit and Stops,Simple Assault,Simple Assault,Unknown,Female,White,1
Deschutes SO,Deschutes,9/13/2021,Other - Assisted,Mentally Deranged,Simple Assault,Simple Assault,Unknown,Male,White,1
Deschutes SO,Deschutes,2/7/2022,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Simple Assault,Simple Assault,Unknown,Male,White,1
Grants Pass PD,Josephine,6/26/2020,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,Unknown,Male,Unknown,1
Grants Pass PD,Josephine,2/12/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,Unknown,Male,Unknown,1
Grants Pass PD,Josephine,6/26/2020,Other - Assisted,All Other,Simple Assault,Simple Assault,Unknown,Male,Unknown,1
Gresham PD MIP,Multnomah,3/26/2021,One Man Vehicle - Alone,Mentally Deranged,Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
Hillsboro PD MIP,Washington,1/25/2022,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
Jackson SO,JACKSON,8/5/2021,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,Unknown,Male,White,1
